p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
FGFBP2	0	1.96645661503157	0.847	0.093	0	0	FGFBP2
GZMB	0	1.66648194226876	0.938	0.28	0	0	GZMB
GNLY	0	1.48382409166047	0.919	0.388	0	0	GNLY
GZMH	0	1.46536757889721	0.891	0.322	0	0	GZMH
SPON2	0	1.02368755618403	0.822	0.479	0	0	SPON2
FCGR3A	0	1.00740496236755	0.854	0.297	0	0	FCGR3A
CCL4L2	0	0.934289624278808	0.713	0.497	0	0	CCL4L2
LAIR2	0	0.909913950250867	0.413	0.06	0	0	LAIR2
NKG7	0	0.879391853211031	1	0.835	0	0	NKG7
IFNG	0	0.87453020911202	0.719	0.469	0	0	IFNG
PRF1	0	0.833127305628759	0.742	0.414	0	0	PRF1
IGFBP7	0	0.804094553297834	0.379	0.064	0	0	IGFBP7
MT2A	0	0.801567845149106	0.78	0.658	0	0	MT2A
MYOM2	0	0.796266683205139	0.271	0.035	0	0	MYOM2
CCL4	0	0.789770383906129	0.943	0.798	0	0	CCL4
ARL4C	0	0.765999994214679	0.903	0.596	0	0	ARL4C
HOPX	0	0.758446205139994	0.744	0.388	0	0	HOPX
GTF3C1	0	0.746568058688606	0.428	0.131	0	0	GTF3C1
CST7	0	0.733092400792942	0.984	0.79	0	0	CST7
LGALS1	0	0.703840363968871	0.767	0.462	0	0	LGALS1
C12orf75	0	0.668532111846769	0.53	0.204	0	0	C12orf75
EFHD2	0	0.624275389008651	0.859	0.635	0	0	EFHD2
SYNE2	0	0.604396095261054	0.585	0.293	0	0	SYNE2
ANXA1	0	0.595143930467162	0.869	0.634	0	0	ANXA1
SYNE1	0	0.594766181606107	0.429	0.154	0	0	SYNE1
CYBA	0	0.591100801993506	0.983	0.913	0	0	CYBA
ADGRG1	0	0.575095946567532	0.343	0.077	0	0	ADGRG1
LYAR	0	0.571441907639224	0.442	0.176	0	0	LYAR
PRSS23	0	0.561118135647903	0.255	0.02	0	0	PRSS23
SH3BGRL3	0	0.549581331434279	0.97	0.859	0	0	SH3BGRL3
EMP3	0	0.537979902191526	0.796	0.473	0	0	EMP3
C1orf21	0	0.531382639980983	0.409	0.154	0	0	C1orf21
DSTN	0	0.526455229280687	0.508	0.299	0	0	DSTN
KLF2	0	0.510493201810153	0.963	0.813	0	0	KLF2
PLAC8	0	0.504595004934	0.631	0.396	0	0	PLAC8
ZEB2	0	0.494167520055101	0.751	0.527	0	0	ZEB2
CEP78	0	0.487317147456565	0.335	0.121	0	0	CEP78
GNG2	0	0.479938663465199	0.688	0.497	0	0	GNG2
S100A4	0	0.475734865989319	0.923	0.665	0	0	S100A4
CD247	0	0.470938708710751	0.889	0.68	0	0	CD247
ABHD17A	0	0.470640670287889	0.792	0.581	0	0	ABHD17A
IER3	0	0.470162975704771	0.526	0.361	0	0	IER3
PPP2R5C	0	0.469319830569719	0.782	0.59	0	0	PPP2R5C
CD99	0	0.469268578146811	0.881	0.712	0	0	CD99
CCL5	0	0.464412497792733	0.94	0.77	0	0	CCL5
BIN2	0	0.46420672544831	0.632	0.415	0	0	BIN2
BPGM	0	0.459701199811503	0.274	0.104	0	0	BPGM
CAST	0	0.457696303017278	0.585	0.372	0	0	CAST
TTC38	0	0.455409802799001	0.331	0.124	0	0	TTC38
PLEK	0	0.453347165749566	0.536	0.289	0	0	PLEK
CTSW	0	0.453308896093552	0.911	0.659	0	0	CTSW
AES	0	0.424398797706491	0.815	0.661	0	0	AES
S1PR5	0	0.408253208403496	0.443	0.223	0	0	S1PR5
RAB29	0	0.404685371011364	0.329	0.156	0	0	RAB29
FLNA	0	0.395401471010893	0.478	0.301	0	0	FLNA
KLRD1	0	0.391859951205991	0.959	0.709	0	0	KLRD1
PYHIN1	0	0.389442255405369	0.447	0.262	0	0	PYHIN1
BHLHE40	0	0.386503565662429	0.701	0.581	0	0	BHLHE40
DOK2	0	0.382109697019905	0.694	0.534	0	0	DOK2
TMBIM1	0	0.376094077151232	0.347	0.185	0	0	TMBIM1
SERPINB1	0	0.369676153109034	0.493	0.34	0	0	SERPINB1
JUN	0	0.369636111694654	0.975	0.941	0	0	JUN
MBP	0	0.367647766046672	0.544	0.38	0	0	MBP
ADRB2	0	0.358372284342647	0.315	0.165	0	0	ADRB2
SAMD3	0	0.356298375859692	0.404	0.231	0	0	SAMD3
UBE2F	0	0.351901611996894	0.359	0.214	0	0	UBE2F
CLIC3	0	0.350882282836666	0.712	0.489	0	0	CLIC3
RARRES3	0	0.343628244043464	0.728	0.589	0	0	RARRES3
ITGB2	0	0.337507177192518	0.802	0.667	0	0	ITGB2
MTSS1	0	0.335490049018682	0.258	0.105	0	0	MTSS1
SYNGR1	0	0.332522414058098	0.373	0.216	0	0	SYNGR1
ARPC2	0	0.330440288258671	0.932	0.854	0	0	ARPC2
FCRL6	0	0.327866990039478	0.324	0.167	0	0	FCRL6
SORL1	0	0.312333559481291	0.265	0.131	0	0	SORL1
B2M	0	0.31203974498457	1	1	0	0	B2M
TRBC1	0	0.306524230539732	0.723	0.547	0	0	TRBC1
MYL12A	0	0.306282926300792	0.905	0.841	0	0	MYL12A
GZMA	0	0.300290022177266	0.895	0.675	0	0	GZMA
CD52	0	0.289133699459518	0.608	0.414	0	0	CD52
PFN1	0	0.283250692860949	0.988	0.96	0	0	PFN1
HLA-C	0	0.280611072441325	1	0.998	0	0	HLA-C
HLA-E	0	0.279225136275772	0.995	0.987	0	0	HLA-E
GZMM	0	0.267937682215192	0.813	0.592	0	0	GZMM
KLRF1	0	0.261938151668721	0.731	0.505	0	0	KLRF1
RAP1B	0	0.261820685916812	0.816	0.731	0	0	RAP1B
HCST	0	0.258056994253153	0.915	0.818	0	0	HCST
SELPLG	1.04735761692345e-300	0.316433906960891	0.255	0.13	2.24888627505803e-296	0	SELPLG
MYO1F	4.85849959601239e-297	0.319752750920182	0.377	0.235	1.04321703325578e-292	0	MYO1F
