marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
AIF1	Microglial cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Microglial cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Macrophage	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Macrophage	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Microglial cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Gonadal endothelial cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Microglial cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Macrophage	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Microglial cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Microglial cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	CD1C-CD141- dendritic cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Macrophage	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Paneth cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	White blood cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Macrophage	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Macrophage	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Myeloid cell	0	3.140913425723	0.904	0.028	0	4	0.876
AIF1	Macrophage	0	3.140913425723	0.904	0.028	0	4	0.876
ALB	Hepatocyte	0	6.03066808476632	0.959	0.02	0	10	0.939
ALB	Hepatocyte	0	6.03066808476632	0.959	0.02	0	10	0.939
ALB	Hepatocyte	0	6.03066808476632	0.959	0.02	0	10	0.939
ALB	Acinar cell	0	6.03066808476632	0.959	0.02	0	10	0.939
ALB	Hepatocyte	0	6.03066808476632	0.959	0.02	0	10	0.939
AMBP	Liver bud hepatic cell	0	4.34486368544188	0.905	0.003	0	10	0.902
APOC1	Myeloid cell	0	4.8113224501832	0.932	0.014	0	10	0.918
APOE	Macrophage	0	4.34813600593207	0.932	0.01	0	10	0.922
APOE	Secretory progenitor cell	0	4.34813600593207	0.932	0.01	0	10	0.922
APOE	Astrocyte	0	4.34813600593207	0.932	0.01	0	10	0.922
APOE	Monocyte-derived macrophage	0	4.34813600593207	0.932	0.01	0	10	0.922
APOE	Macrophage	0	4.34813600593207	0.932	0.01	0	10	0.922
APOE	Immune oligodendroglial cell(imOLG)	0	4.34813600593207	0.932	0.01	0	10	0.922
APOE	Macrophage	0	4.34813600593207	0.932	0.01	0	10	0.922
APOE	Microglial cell	0	4.34813600593207	0.932	0.01	0	10	0.922
C1orf54	Conventional dendritic cell 1(cDC1)	0	2.04423708745538	0.968	0.011	0	9	0.957
C1orf54	Fibrocartilage chondrocyte	0	2.04423708745538	0.968	0.011	0	9	0.957
CAPG	Mitotic fetal germ cell	0	1.04330677447659	0.677	0.091	0	3	0.586
CAPG	Gonadal endothelial cell	0	1.04330677447659	0.677	0.091	0	3	0.586
CAPG	B cell	0	1.04330677447659	0.677	0.091	0	3	0.586
CD160	Natural killer T (NKT) cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	T cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	Exhausted T(Tex) cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	Megakaryocyte erythroid cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	Natural killer cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	Natural killer cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	CD8+ T cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	Lymphoid cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	Natural killer cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	Endothelial cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD160	CD8+ T cell	0	0.917717878209679	0.709	0.322	0	1	0.387
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Natural killer cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Natural killer cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Cytotoxic T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	CD4+ T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	CD8+ T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	CD1C+_A dendritic cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Natural killer cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Natural killer T(NKT) cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	Myeloid conventional dendritic cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
CD2	T cell	0	0.65395954253902	0.64	0.352	0	2	0.288
