p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
FGFBP2	0	2.12192861559285	0.813	0.054	0	0	FGFBP2
GZMB	0	1.74449595613752	0.911	0.26	0	0	GZMB
GZMH	0	1.73659883474815	0.874	0.272	0	0	GZMH
S100A4	0	1.42438411855838	0.919	0.478	0	0	S100A4
FCGR3A	0	1.40148089340363	0.837	0.206	0	0	FCGR3A
HSPA6	0	1.3988133198805	0.438	0.199	0	0	HSPA6
MT2A	0	1.34123160738653	0.774	0.548	0	0	MT2A
HSPA1B	0	1.30399015768129	0.569	0.356	0	0	HSPA1B
GNLY	0	1.23993311426303	0.9	0.355	0	0	GNLY
LGALS1	0	1.12907619522655	0.762	0.312	0	0	LGALS1
HSPA1A	0	1.09731056888851	0.714	0.527	0	0	HSPA1A
ARL4C	0	1.08424950852073	0.897	0.469	0	0	ARL4C
LAIR2	0	1.02979864382782	0.396	0.013	0	0	LAIR2
S100A6	0	0.998872065163664	0.855	0.424	0	0	S100A6
EMP3	0	0.995265392622755	0.783	0.297	0	0	EMP3
CD52	0	0.977424871743773	0.6	0.171	0	0	CD52
DNAJB1	0	0.930750415114132	0.847	0.74	0	0	DNAJB1
SH3BGRL3	0	0.924327642837384	0.968	0.774	0	0	SH3BGRL3
IFNG	0	0.838653009375229	0.72	0.496	0	0	IFNG
ANXA1	0	0.829764610188664	0.863	0.579	0	0	ANXA1
MYOM2	0	0.825181887417947	0.262	0.016	0	0	MYOM2
GTF3C1	0	0.819442399499989	0.415	0.092	0	0	GTF3C1
IGFBP7	0	0.802331658709376	0.362	0.045	0	0	IGFBP7
SYNE2	0	0.801594365317242	0.579	0.191	0	0	SYNE2
HLA-DPB1	0	0.800510906000855	0.601	0.214	0	0	HLA-DPB1
CCL4L2	0	0.775664748884914	0.712	0.524	0	0	CCL4L2
LYAR	0	0.747238138080579	0.436	0.097	0	0	LYAR
SPON2	0	0.74392627723705	0.806	0.588	0	0	SPON2
HSP90AA1	0	0.719002321745944	0.989	0.986	0	0	HSP90AA1
C12orf75	0	0.716305528442019	0.517	0.176	0	0	C12orf75
DSTN	0	0.679168544215929	0.497	0.193	0	0	DSTN
HOPX	0	0.675282839272523	0.734	0.417	0	0	HOPX
CACYBP	0	0.65169084109668	0.614	0.427	0	0	CACYBP
SYNE1	0	0.629642590636002	0.424	0.126	0	0	SYNE1
PRF1	0	0.626147640228456	0.728	0.523	0	0	PRF1
CYBA	0	0.615725134775578	0.98	0.912	0	0	CYBA
HLA-DPA1	0	0.614763511402754	0.59	0.308	0	0	HLA-DPA1
KLF2	0	0.612013486869746	0.96	0.792	0	0	KLF2
HSPA8	0	0.610749975406697	0.974	0.943	0	0	HSPA8
HLA-DRB1	0	0.595115416743204	0.512	0.262	0	0	HLA-DRB1
PPP2R5C	0	0.594582924687909	0.775	0.526	0	0	PPP2R5C
NEAT1	0	0.587494949383013	0.974	0.914	0	0	NEAT1
ADGRG1	0	0.585475248338539	0.334	0.061	0	0	ADGRG1
CAST	0	0.57846403575214	0.579	0.261	0	0	CAST
AHNAK	0	0.541645327157016	0.431	0.158	0	0	AHNAK
CD3E	0	0.531348731781219	0.554	0.379	0	0	CD3E
SERPINB9	0	0.529095517581985	0.334	0.1	0	0	SERPINB9
PLEK	0	0.519958298142625	0.527	0.285	0	0	PLEK
JUN	0	0.51597068215727	0.976	0.922	0	0	JUN
CDC42EP3	0	0.515639208010975	0.382	0.159	0	0	CDC42EP3
TXNIP	0	0.503899121879969	0.796	0.672	0	0	TXNIP
MTSS1	0	0.50355832909231	0.251	0.027	0	0	MTSS1
ZEB2	0	0.494440391557514	0.741	0.548	0	0	ZEB2
FTL	0	0.486995127492086	0.99	0.965	0	0	FTL
NKG7	0	0.473267198370553	0.998	0.992	0	0	NKG7
TOB1	0	0.46873178263403	0.415	0.195	0	0	TOB1
FLNA	0	0.46385849627122	0.468	0.242	0	0	FLNA
BPGM	0	0.463008362301928	0.27	0.089	0	0	BPGM
TMBIM1	0	0.459769810014459	0.34	0.117	0	0	TMBIM1
S100A10	0	0.45764712927413	0.85	0.699	0	0	S100A10
IL32	0	0.452768045445004	0.68	0.476	0	0	IL32
EFHD2	0	0.439303095569671	0.843	0.71	0	0	EFHD2
CD99	0	0.434203611829289	0.877	0.732	0	0	CD99
CAPN2	0	0.419957046248736	0.263	0.066	0	0	CAPN2
KLF3	0	0.418595535463758	0.408	0.215	0	0	KLF3
CST7	0	0.408478004963656	0.98	0.954	0	0	CST7
CEP78	0	0.408262412250297	0.326	0.142	0	0	CEP78
C1orf21	0	0.401828888784182	0.397	0.201	0	0	C1orf21
RAB29	0	0.400189216005701	0.323	0.136	0	0	RAB29
TRBC1	0	0.392948332591358	0.722	0.54	0	0	TRBC1
SH3BP5	0	0.374332431853017	0.266	0.097	0	0	SH3BP5
BIN2	0	0.368582209197541	0.623	0.441	0	0	BIN2
B2M	0	0.364201825059927	1	1	0	0	B2M
AES	0	0.330099833762808	0.805	0.681	0	0	AES
ARPC2	0	0.318949029478248	0.927	0.858	0	0	ARPC2
HLA-C	0	0.312844519995182	1	1	0	0	HLA-C
CCL5	0	0.294886019033433	0.942	0.851	0	0	CCL5
HLA-E	0	0.292824162525406	0.994	0.988	0	0	HLA-E
MALAT1	0	0.2684665776999	1	1	0	0	MALAT1
CEBPB	4.03491942078286e-295	0.398333664779745	0.474	0.273	8.66377898030495e-291	0	CEBPB
SERPINB1	9.82307911596489e-292	0.406044640659812	0.481	0.296	2.10921154777998e-287	0	SERPINB1
MT1X	4.02238573218685e-285	1.47740208622837	0.428	0.245	8.63686664415161e-281	0	MT1X
CD48	2.45805614905182e-283	0.316839807535288	0.78	0.648	5.27793816324407e-279	0	CD48
TTC38	4.0419999120596e-270	0.35997321405936	0.322	0.153	8.67898221117436e-266	0	TTC38
ADRB2	1.21873061503091e-268	0.375638241378018	0.314	0.147	2.61685837659437e-264	0	ADRB2
LRRFIP1	4.53668109840501e-263	0.352034932499623	0.712	0.564	9.74116165449524e-259	0	LRRFIP1
HSPB1	1.14309695898111e-234	0.503956381433753	0.504	0.34	2.45445779032424e-230	0	HSPB1
TNF	6.64824703572667e-234	0.583437660964938	0.275	0.128	1.42751160351123e-229	0	TNF
CLEC2D	6.38033280165912e-233	0.33548237293893	0.29	0.14	1.36998505917225e-228	0	CLEC2D
PLAC8	7.92714313472345e-231	0.343405101079614	0.622	0.464	1.70211617388782e-226	0	PLAC8
PIM1	1.05761182131899e-226	0.394600243154833	0.456	0.287	2.27090410273613e-222	0	PIM1
ZFAND2A	1.01338319708338e-223	0.592402461999984	0.463	0.307	2.17593640077744e-219	0	ZFAND2A
PSMB9	1.8081600314726e-223	0.323056178801559	0.565	0.406	3.88248121957797e-219	0	PSMB9
MBP	3.80261785052844e-218	0.324311351641546	0.54	0.384	8.16498104865467e-214	0	MBP
RIPOR2	2.85807442823705e-216	0.313691443443592	0.287	0.141	6.13685741231059e-212	0	RIPOR2
DHRS7	3.56568679586537e-207	0.300728841154111	0.562	0.407	7.65624268808211e-203	0	DHRS7
TECR	3.03389432951007e-203	0.31197585499192	0.372	0.221	6.51437790432401e-199	0	TECR
GLRX	2.80760630522198e-202	0.379918860323408	0.4	0.248	6.02849225857263e-198	0	GLRX
MYO1G	4.46546923303706e-202	0.29960231394031	0.3	0.157	9.58825553717718e-198	0	MYO1G
IGKC	5.60751406640916e-196	0.430178347038724	0.426	0.26	1.20404542033938e-191	0	IGKC
IER3	2.40118424686293e-194	0.412602171177886	0.523	0.371	5.15582281486407e-190	0	IER3
BIN1	2.24303828929842e-193	0.293792533431652	0.371	0.222	4.81625181478156e-189	0	BIN1
DOK2	6.69100916257812e-191	0.32651905521217	0.696	0.574	1.43669348738877e-186	0	DOK2
PTP4A2	4.82238540955838e-187	0.277330985783812	0.682	0.555	1.03546259514038e-182	0	PTP4A2
PRNP	7.13338125586528e-183	0.282116676225476	0.28	0.146	1.53167962325939e-178	0	PRNP
YWHAQ	1.19430495981356e-182	0.286932564921306	0.621	0.491	2.56441160971168e-178	0	YWHAQ
ARL6IP5	7.33435000966556e-181	0.303322385622834	0.697	0.588	1.57483163407539e-176	0	ARL6IP5
OASL	1.38606340450904e-176	0.303363052245708	0.28	0.148	2.97615534216182e-172	0	OASL
MRPL18	2.82343894012555e-176	0.388912798943835	0.364	0.227	6.06248809223758e-172	0	MRPL18
PRDM1	2.95187935048075e-176	0.306506781048883	0.405	0.258	6.33827534135226e-172	0	PRDM1
ARRB2	4.32755517919765e-172	0.255874944447196	0.255	0.129	9.2921264807732e-168	0	ARRB2
SORL1	5.45694512868394e-170	0.272265310893547	0.26	0.135	1.17171525803102e-165	0	SORL1
UBE2F	1.35101599281836e-166	0.283253787204327	0.35	0.215	2.90090153977959e-162	0	UBE2F
NDUFB7	3.44828422015713e-165	0.277288695508728	0.391	0.254	7.40415587752139e-161	0	NDUFB7
BIRC3	5.02985521926298e-164	0.319024770025691	0.307	0.176	1.08001051268015e-159	0	BIRC3
PDE4D	7.23002211442715e-163	0.290529178414482	0.36	0.225	1.5524303484098e-158	0	PDE4D
CHORDC1	1.99038877926865e-162	0.353289530484134	0.46	0.327	4.27376278684564e-158	0	CHORDC1
GIMAP4	2.12624717204246e-161	0.271005943134286	0.258	0.135	4.56547792780957e-157	0	GIMAP4
GNG2	1.54812994483074e-159	0.278346868149002	0.676	0.558	3.32414461754056e-155	0	GNG2
PRKCB	1.60775677903927e-159	0.26379597506403	0.303	0.176	3.45217535595311e-155	0	PRKCB
HSPH1	1.70661221680165e-158	0.485354937312928	0.579	0.46	3.66443775191651e-154	0	HSPH1
ADD3	3.46985457809004e-158	0.269284440440407	0.304	0.177	7.45047175007493e-154	0	ADD3
CD300A	1.30719678180151e-157	0.268838993885856	0.279	0.154	2.8068129298842e-153	0	CD300A
PHLDA1	4.17399881369537e-157	0.347339769866504	0.409	0.274	8.9624102527667e-153	0	PHLDA1
CARD16	7.59398147645846e-154	0.307436412751446	0.464	0.332	1.63057970262516e-149	0	CARD16
CCL4	1.15103330180343e-151	0.424112671636423	0.939	0.895	2.47149870563231e-147	0	CCL4
VMP1	2.43032062170085e-151	0.296738602168113	0.348	0.221	5.21838443891607e-147	0	VMP1
SLC20A1	1.7497109561012e-140	0.272919901379591	0.333	0.211	3.7569793649405e-136	0	SLC20A1
FKBP4	3.07315898860721e-136	0.285646746708736	0.269	0.154	6.59868698033739e-132	0	FKBP4
MYO1F	2.20188978100082e-135	0.252409030314738	0.369	0.246	4.72789773776495e-131	0	MYO1F
EBP	1.3851689080752e-134	0.263923411582837	0.39	0.267	2.97423467941907e-130	0	EBP
SNHG15	4.92100872421675e-134	0.262877584971518	0.47	0.347	1.05663899326382e-129	0	SNHG15
CDKN2D	1.80513418749475e-133	0.251541792319688	0.521	0.396	3.87598412738873e-129	0	CDKN2D
SOD1	1.54392746100373e-132	0.253210461432742	0.651	0.541	3.31512104426721e-128	0	SOD1
BHLHE40	4.08795452128024e-131	0.289216732182425	0.691	0.603	8.77765594809293e-127	0	BHLHE40
UCP2	6.21458027165381e-131	0.253095239011139	0.543	0.42	1.33439467592951e-126	0	UCP2
SAT1	6.8052002472638e-131	0.302687720989298	0.843	0.783	1.46121259709248e-126	0	SAT1
RRBP1	1.0570214608424e-129	0.258981489279716	0.29	0.177	2.2696364807208e-125	0	RRBP1
MXD1	1.38715930290274e-127	0.267495571908952	0.26	0.152	2.97850845519277e-123	0	MXD1
PYHIN1	9.69095895606098e-125	0.251802498951975	0.442	0.32	2.08084270704541e-120	0	PYHIN1
DEDD2	2.529695254975e-119	0.285339369351074	0.385	0.27	5.43176165148232e-115	0	DEDD2
UAP1	6.55192863215753e-113	0.263049749296104	0.341	0.232	1.40683011589687e-108	0	UAP1
RGS2	1.35084282551254e-110	0.281417294467312	0.573	0.463	2.90052971494052e-106	0	RGS2
ATF3	1.94286097123533e-106	0.371100162694935	0.495	0.394	4.1717110774365e-102	0	ATF3
HLA-DRA	4.80649983442525e-100	0.291477226742213	0.256	0.162	1.03205164444779e-95	0	HLA-DRA
KLRC2	7.84884010841765e-94	0.263866678912093	0.251	0.159	1.68530294807944e-89	0	KLRC2
AHSA1	2.9511163293514e-90	0.253051509198392	0.421	0.325	6.33663698238333e-86	0	AHSA1
XCL1	0	1.23148787725717	0.795	0.386	0	1	XCL1
GZMK	0	1.22857087167319	0.855	0.302	0	1	GZMK
CD160	0	0.909891675292315	0.782	0.386	0	1	CD160
COTL1	0	0.900124904801604	0.636	0.217	0	1	COTL1
CEBPD	0	0.818073031751493	0.79	0.438	0	1	CEBPD
IFRD1	0	0.812606269588175	0.919	0.709	0	1	IFRD1
FCER1G	0	0.812040287135086	0.944	0.558	0	1	FCER1G
KLRB1	0	0.804627978094291	0.972	0.633	0	1	KLRB1
GSTP1	0	0.792003200786179	0.948	0.783	0	1	GSTP1
IRF8	0	0.78748173793293	0.708	0.355	0	1	IRF8
SPRY1	0	0.783890179330921	0.439	0.097	0	1	SPRY1
PIK3R1	0	0.745491667880073	0.891	0.611	0	1	PIK3R1
ATP1B3	0	0.745302401691494	0.831	0.584	0	1	ATP1B3
FAM177A1	0	0.737987947003228	0.894	0.655	0	1	FAM177A1
CD7	0	0.73006085268098	0.989	0.84	0	1	CD7
SPRY2	0	0.722193668302613	0.503	0.165	0	1	SPRY2
AREG	0	0.706546339322148	0.885	0.616	0	1	AREG
ALOX5AP	0	0.687744021754892	0.86	0.573	0	1	ALOX5AP
TOX2	0	0.658175112959292	0.317	0.037	0	1	TOX2
TMIGD2	0	0.648957676767478	0.593	0.251	0	1	TMIGD2
ID1	0	0.630585993180186	0.478	0.253	0	1	ID1
METTL9	0	0.61389651493828	0.581	0.291	0	1	METTL9
CMC1	0	0.61217730007561	0.913	0.758	0	1	CMC1
ZNF331	0	0.601203339999129	0.811	0.575	0	1	ZNF331
CEMIP2	0	0.581395837446441	0.807	0.603	0	1	CEMIP2
ZBTB16	0	0.579385405273484	0.529	0.242	0	1	ZBTB16
KLRC1	0	0.575151672548057	0.537	0.265	0	1	KLRC1
MAP3K8	0	0.570050786449097	0.872	0.697	0	1	MAP3K8
TLE1	0	0.568225206112787	0.559	0.314	0	1	TLE1
TYROBP	0	0.566958051674658	0.982	0.781	0	1	TYROBP
YPEL5	0	0.558481267268579	0.95	0.832	0	1	YPEL5
RGS1	0	0.556438674248844	0.758	0.525	0	1	RGS1
PABPC1	0	0.542663396519662	0.986	0.909	0	1	PABPC1
B3GNT7	0	0.540797943284355	0.412	0.155	0	1	B3GNT7
MAPK1	0	0.538662765223825	0.718	0.491	0	1	MAPK1
CLDND1	0	0.531319296149534	0.512	0.256	0	1	CLDND1
CD96	0	0.527764694426278	0.692	0.431	0	1	CD96
SRGN	0	0.521564676306096	1	0.993	0	1	SRGN
AP3S1	0	0.518639518077012	0.479	0.241	0	1	AP3S1
CD81	0	0.515272737140917	0.929	0.792	0	1	CD81
CHKA	0	0.51155449380385	0.308	0.084	0	1	CHKA
PDE4B	0	0.504306449845027	0.523	0.257	0	1	PDE4B
HSPA5	0	0.500844638371015	0.97	0.914	0	1	HSPA5
