marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
ALOX5AP	Mast cell	0	0.687744021754892	0.86	0.573	0	1	0.287
ALOX5AP	Monocyte	0	0.687744021754892	0.86	0.573	0	1	0.287
ALOX5AP	Plasmacytoid dendritic cell	0	0.687744021754892	0.86	0.573	0	1	0.287
AREG	Mast cell	0	0.706546339322148	0.885	0.616	0	1	0.269
AREG	Dendritic cell 2A	0	0.706546339322148	0.885	0.616	0	1	0.269
AREG	CD1C+_A dendritic cell	0	0.706546339322148	0.885	0.616	0	1	0.269
AREG	Natural killer T (NKT) cell	0	0.706546339322148	0.885	0.616	0	1	0.269
ARL4C	Paneth cell	0	1.08424950852073	0.897	0.469	0	0	0.428
C12orf75	Microglial cell	0	0.716305528442019	0.517	0.176	0	0	0.341
C12orf75	Effector CD8+ memory T (Tem) cell	0	0.716305528442019	0.517	0.176	0	0	0.341
C12orf75	Natural killer T (NKT) cell	0	0.716305528442019	0.517	0.176	0	0	0.341
CAPG	Gonadal endothelial cell	0	0.588723632537178	0.371	0.058	0	2	0.313
CAPG	B cell	0	0.588723632537178	0.371	0.058	0	2	0.313
CAPG	Mitotic fetal germ cell	0	0.588723632537178	0.371	0.058	0	2	0.313
CAST	Mitotic arrest phase fetal germ cell	0	0.57846403575214	0.579	0.261	0	0	0.318
CAST	Oogenesis phase fetal germ cell	0	0.57846403575214	0.579	0.261	0	0	0.318
CAST	Monocyte	0	0.57846403575214	0.579	0.261	0	0	0.318
CD160	Endothelial cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	Exhausted T(Tex) cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	Natural killer cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	Lymphoid cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	Natural killer cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	Natural killer cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	Natural killer T (NKT) cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	Megakaryocyte erythroid cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	CD8+ T cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	T cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD160	CD8+ T cell	0	0.909891675292315	0.782	0.386	0	1	0.396
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Intestinal epithelial stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	EMT non-cancer stem cell(EMT non-CSC)	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Progenitor cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Natural killer cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Adipose-derived stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Myometrial stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Eosinophil	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Hematopoietic stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Glioma stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal stromal cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal stromal cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Astrocyte	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Multipotent stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Myoepithelial cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Eosinophil	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Endometrial stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Basal progenitor cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	EMT cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem-like cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Glial cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Central memory CD8+ T cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal stromal cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal glioblastoma cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Fibroblast	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Hematopoietic stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Adventitial cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Granulocyte	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal stromal cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Dedifferentiation adipocyte	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Mesenchymal stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
CD44	Cancer stem cell	0	1.02456232198529	0.906	0.484	0	2	0.422
