"","Gene_Clusters"
"ISG15","1"
"IFI6","1"
"RPS8","2"
"IFI44L","1"
"CD2","2"
"TXNIP","1"
"MCL1","1"
"LMNA","1"
"TAGLN2","1"
"FCER1G","1"
"IGKC","1"
"CXCR4","2"
"HSPD1","1"
"TUBA4A","2"
"CMC1","2"
"GCSAM","2"
"SPON2","1"
"IGFBP7","1"
"RPS14","2"
"HAVCR2","1"
"SQSTM1","1"
"HLA-A","1"
"HSPA1B","1"
"RPS10","2"
"PIM1","1"
"RPS12","2"
"TNFAIP3","1"
"HSPB1","1"
"RPS4X","2"
"XIST","2"
"RPL39","2"
"MYOM2","1"
"LY6E","1"
"ANXA1","1"
"PTGDS","1"
"HBB","2"
"FTH1","1"
"RPS3","2"
"SERPINH1","1"
"CD3E","2"
"CRTAM","2"
"AKR1C3","1"
"CREM","1"
"PRF1","1"
"KLRB1","1"
"KLRC1","1"
"GRASP","1"
"RPS26","1"
"UBC","1"
"HSPH1","1"
"RGCC","1"
"GZMB","1"
"NFKBIA","1"
"IGHG4","1"
"IGHG1","1"
"IGHG3","1"
"HBA2","2"
"IL32","2"
"MT2A","1"
"MT1F","1"
"MT1G","1"
"MT1X","1"
"CCL3","1"
"CST7","1"
"SLA2","1"
"RPS21","2"
"GADD45B","1"
"AC020916.1","1"
"JUND","1"
"TYROBP","1"
"PPP1R15A","1"
"MYADM","1"
"RPS4Y1","1"
"ZFY","1"
"DDX3Y","1"
"IGLC2","1"
"IGLC3","1"
"HLA-DRB1","2"
"XAF1","1"
"RPLP2","2"
"GNG2","1"
"YPEL5","1"
"GADD45G","1"
"METRNL","1"
"CD55","1"
"RPL30","2"
"IFI27","1"
"EFHD2","1"
"RPL5","2"
"UTY","1"
"ANKRD9","1"
"APBA2","2"
"IFITM3","1"
"RASGEF1B","1"
"RPL34","2"
"FKBP4","1"
"UBB","1"
"RPS2","2"
"PHLDA1","1"
"RPL36","2"
"GZMH","2"
"DNAJB6","1"
"KLRC2","2"
"PTMA","1"
"MRPS6","1"
"EIF1AY","1"
"LAIR2","1"
"DNAJA4","1"
"RPS15A","2"
"ANKRD28","1"
"RPL36A","2"
"HSP90AA1","1"
"HLA-C","1"
"EEF1A1","2"
"ADGRE5","1"
"RPL3","2"
"ZFP36L2","2"
"CCL4","1"
"RPS28","2"
"BTG1","2"
"SH2D2A","1"
"MT-CYB","2"
"RPS27","2"
"RPS7","2"
"CCL4L2","1"
"IFITM1","1"
"RPS19","2"
"HLA-DRA","2"
"RPS18","2"
"RPS29","2"
"ALOX5AP","1"
"IER5","1"
"HES4","1"
"TNFRSF18","1"
"MAPRE2","1"
"RPL32","2"
"DAAM1","1"
"RPL21","2"
"PTMS","2"
"SDCBP","1"
"RPS27A","2"
"DNAJB1","1"
"RPL41","2"
"VIM","1"
"C1orf162","1"
"NFKBIZ","1"
"TOMM7","2"
"PPP1R2C","2"
"GZMK","2"
"TRG-AS1","2"
"PIK3R1","2"
"RPL13","2"
"RPL7A","2"
"CD38","1"
"IER3","1"
"MT1M","1"
"HLA-DPA1","2"
"XCL1","1"
"NUDC","1"
"HLA-DPB1","2"
"RPS23","2"
"PIM3","1"
"RPL19","2"
"TTTY15","1"
"RPL6","2"
"IRF7","1"
"RPS25","2"
"CSRNP1","1"
"CTSD","1"
"DOCK5","1"
"FGFBP2","1"
"PMEPA1","1"
"IER5L","2"
"RPL37","2"
"SOCS1","2"
"EPSTI1","1"
"NFKB1","1"
"SYTL3","1"
"CEMIP2","2"
"SARAF","1"
"CD247","1"
"RPL22","2"
"ARL4A","1"
"HPGD","1"
"BHLHE40","1"
"RPL35A","2"
"NINJ1","1"
"STIP1","1"
"LAT2","1"
"HSPA1A","1"
"IVNS1ABP","1"
"GBP2","1"
"UTS2","1"
"DDIT3","1"
"SLC16A3","1"
"RPSA","2"
"HLA-DRB5","2"
"MYL6","1"
"CRIP1","1"
"RPL18","2"
"RPL11","2"
"MIR155HG","1"
"LRRFIP1","1"
"CARD16","1"
"RELB","1"
"HSP90B1","1"
"RPS13","2"
"LCK","2"
"HSH2D","1"
"HLA-DQB1","2"
"MX1","1"
"IKZF1","2"
"S100A11","1"
"SYNJ2","1"
"HSPE1","1"
"RPL26","2"
"EEF1B2","2"
"ARID4B","1"
"NFE2L2","1"
"IRS2","1"
"RPS16","2"
"PLSCR1","1"
"KDM6B","1"
"NKG7","1"
"SPOCK2","1"
"RPL18A","2"
"DUSP4","1"
"RPS9","2"
"AL158071.4","2"
"LAG3","2"
"OTULIN","1"
"IRF1","1"
"POLR2K","1"
"CCL18","1"
"SRSF2","1"
"PDE4B","2"
"EOMES","2"
"SLC2A3","1"
"RPL23A","2"
"CSF2","1"
"MAP1LC3B","1"
"AC243829.1","2"
"HMOX1","1"
"KRT86","1"
"RPS15","2"
"CHD1","1"
"CCL5","2"
"NFKBID","1"
"CRYBG1","2"
"CD300A","1"
"GNA15","1"
"TMIGD2","1"
"RPL12","2"
"TRAF3IP3","2"
"RPL37A","2"
"RPL10A","2"
"LDHA","1"
"SAT1","1"
"CD44","1"
"BATF","2"
"EIF5A","1"
"KLRC4","2"
"PHF20","1"
"TRIM22","1"
"SNX9","1"
"KIR2DL3","1"
"TNFRSF1B","1"
"H3F3A","1"
"RPL8","2"
"IL2RG","1"
"RPS5","2"
"CD69","1"
"PGK1","1"
"PSME2","1"
"CEBPD","1"
"RPL28","2"
"H1FX","1"
"ODC1","1"
"GK5","1"
"EIF1","1"
"EZR","1"
"IFI44","1"
"RPS6","2"
"VSIR","1"
"RAMP1","1"
"OFD1","2"
"SLC15A4","1"
"PRDM1","2"
"UBE2B","1"
"KMT2E","1"
"PRNP","1"
"CYTIP","2"
"ETS1","2"
"HNRNPC","1"
"IFNGR1","1"
"KLF10","1"
"IRF9","1"
"RPL35","2"
"SH2D1B","1"
"DENND3","1"
"HLA-DQA2","1"
"NR4A2","1"
"TUBB4B","1"
"IL18RAP","1"
"TAGAP","1"
"EIF2AK2","1"
"UAP1","1"
"RPL4","2"
"TYMP","1"
"EIF4A3","2"
"FBXW5","2"
"ZEB2","1"
"MT-ND1","2"
"WHAMM","1"
"ICAM2","1"
"PTP4A2","2"
"DSTN","1"
"SERTAD1","1"
"AC243960.1","2"
"PSMB9","1"
"MT-CO1","2"
"LILRB1","2"
"ARL6IP5","2"
"ERN1","1"
"AHSA1","1"
"SLC5A3","1"
"KIR2DL1","1"
"YWHAZ","1"
"THAP2","1"
"OXNAD1","2"
"SPRY2","2"
"VSTM2B","2"
"MX2","1"
"EIF3G","2"
"ZFAND2A","1"
"ZBTB38","2"
"RPL13A","2"
"KLF4","1"
"CD7","1"
"AC022182.2","1"
"AAED1","1"
"CD3D","2"
"SLAMF7","1"
"IL7R","2"
"RAB8B","1"
"RACK1","2"
"ITGB7","1"
"MT-ND3","2"
"REL","1"
"RASGRP1","1"
"ILF3-DT","2"
"FNDC3B","1"
"DENND4A","1"
"PLAC8","1"
"VPS37B","1"
"RPLP0","2"
"GLUL","2"
"CD8A","1"
"KDM5D","1"
"RARA","1"
"SSBP4","2"
"TNF","1"
"SRSF3","1"
"LYST","1"
"LIM2","1"
"B2M","1"
"PFDN5","2"
"ERAP2","2"
"BX284668.6","2"
"FBXO34","1"
"NACA","2"
"CCND3","2"
"AGPAT4","1"
"NDFIP2","1"
"APMAP","1"
"KIR2DL4","1"
"H2AFZ","2"
"ITM2A","2"
"LAYN","1"
"SKP1","1"
"SUMO3","1"
"ORAI1","1"
"RORA","1"
"NFAT5","1"
"ITGAD","2"
"NFKB2","1"
"RRBP1","1"
"SLC43A2","1"
"USP9Y","1"
"MARCH3","1"
"TRAC","2"
"PRR7","2"
"PRSS57","1"
"CD79B","1"
"NOP10","1"
"RPL9","2"
"PRDX5","1"
"MAP2K3","1"
"PPP1R15B","1"
"RGS16","1"
"UBE2L6","1"
"RPL29","2"
"PRSS23","1"
"CD226","1"
"RPL14","2"
"PLEKHO1","1"
"RPL7","2"
"SERPINE1","1"
"TC2N","2"
"HSPA4","1"
"CEBPB","1"
"FAU","2"
"TRGC1","1"
"AL512625.3","2"
"SYAP1","1"
"ATP6V0D1","1"
"LIMD2","1"
"CD84","2"
"TIFA","1"
"HLA-DQA1","2"
"NBL1","1"
"SRSF7","1"
"IFIT3","1"
"PIM2","1"
"AHNAK","1"
"HLA-E","1"
"UBE2F","1"
"AC114760.2","2"
"TNFRSF4","1"
"PDE4D","1"
"FMNL1","1"
"LDLRAD4","1"
"SRA1","1"
"ZFP36","1"
"MAPK1","1"
"STAT1","1"
"IL2RB","1"
"IER2","1"
"SLFN5","2"
"ZNF683","1"
"PRMT2","2"
