"gene_short_name","family","pval","qval","status","num_cells_expressed","use_for_ordering"
"ISG15","negbinomial.size",0,0,"OK",7915,TRUE
"IFI6","negbinomial.size",0,0,"OK",4807,TRUE
"RPS8","negbinomial.size",0,0,"OK",16248,TRUE
"IFI44L","negbinomial.size",0,0,"OK",2536,TRUE
"CD2","negbinomial.size",0,0,"OK",6994,TRUE
"TXNIP","negbinomial.size",1.51660732947766e-194,1.59685499885293e-193,"OK",12962,TRUE
"MCL1","negbinomial.size",0,0,"OK",13998,TRUE
"LMNA","negbinomial.size",9.88131291682493e-324,1.72922976044436e-322,"OK",7802,TRUE
"TAGLN2","negbinomial.size",0,0,"OK",12516,TRUE
"FCER1G","negbinomial.size",0,0,"OK",8736,TRUE
"IGKC","negbinomial.size",0,0,"OK",6941,TRUE
"CXCR4","negbinomial.size",1.01332091011573e-110,6.76274785858774e-110,"OK",12026,TRUE
"HSPD1","negbinomial.size",6.84661732660769e-299,1.10823231204568e-297,"OK",12061,TRUE
"TUBA4A","negbinomial.size",2.06531672713929e-231,2.55981256066579e-230,"OK",12581,TRUE
"CMC1","negbinomial.size",0,0,"OK",12251,TRUE
"GCSAM","negbinomial.size",2.20972408254234e-312,3.77393034254679e-311,"OK",1304,TRUE
"SPON2","negbinomial.size",0,0,"OK",13121,TRUE
"IGFBP7","negbinomial.size",0,0,"OK",5901,TRUE
"RPS14","negbinomial.size",0,0,"OK",16278,TRUE
"HAVCR2","negbinomial.size",0,0,"OK",4638,TRUE
"SQSTM1","negbinomial.size",0,0,"OK",11499,TRUE
"HLA-A","negbinomial.size",0,0,"OK",16275,TRUE
"HSPA1B","negbinomial.size",0,0,"OK",9266,TRUE
"RPS10","negbinomial.size",0,0,"OK",15672,TRUE
"PIM1","negbinomial.size",0,0,"OK",7419,TRUE
"RPS12","negbinomial.size",0,0,"OK",16286,TRUE
"TNFAIP3","negbinomial.size",0,0,"OK",13943,TRUE
"HSPB1","negbinomial.size",4.04743498242907e-256,5.38581992447156e-255,"OK",8203,TRUE
"RPS4X","negbinomial.size",0,0,"OK",16274,TRUE
"XIST","negbinomial.size",8.92712643875612e-195,9.44533524178636e-194,"OK",8111,TRUE
"RPL39","negbinomial.size",0,0,"OK",16283,TRUE
"MYOM2","negbinomial.size",0,0,"OK",4271,TRUE
"LY6E","negbinomial.size",0,0,"OK",10664,TRUE
"ANXA1","negbinomial.size",0,0,"OK",14048,TRUE
"PTGDS","negbinomial.size",0,0,"OK",2684,TRUE
"HBB","negbinomial.size",2.17569392820073e-171,2.08808855321566e-170,"OK",264,TRUE
"FTH1","negbinomial.size",0,0,"OK",16232,TRUE
"RPS3","negbinomial.size",0,0,"OK",16281,TRUE
"SERPINH1","negbinomial.size",0,0,"OK",1874,TRUE
"CD3E","negbinomial.size",0,0,"OK",9021,TRUE
"CRTAM","negbinomial.size",0,0,"OK",4848,TRUE
"AKR1C3","negbinomial.size",0,0,"OK",2876,TRUE
"CREM","negbinomial.size",0,0,"OK",11367,TRUE
"PRF1","negbinomial.size",0,0,"OK",11851,TRUE
"KLRB1","negbinomial.size",0,0,"OK",10204,TRUE
"KLRC1","negbinomial.size",0,0,"OK",3625,TRUE
"GRASP","negbinomial.size",0,0,"OK",8165,TRUE
"RPS26","negbinomial.size",1.19216524166012e-227,1.45270022986561e-226,"OK",14881,TRUE
"UBC","negbinomial.size",6.02671967581701e-259,8.06910801039944e-258,"OK",16225,TRUE
"HSPH1","negbinomial.size",0,0,"OK",9428,TRUE
"RGCC","negbinomial.size",0,0,"OK",8329,TRUE
"GZMB","negbinomial.size",0,0,"OK",14837,TRUE
"NFKBIA","negbinomial.size",0,0,"OK",16075,TRUE
"IGHG4","negbinomial.size",0,0,"OK",3276,TRUE
"IGHG1","negbinomial.size",3.86013489095766e-320,6.64493590374185e-319,"OK",2256,TRUE
"IGHG3","negbinomial.size",0,0,"OK",2734,TRUE
"HBA2","negbinomial.size",1.26251674428579e-16,1.93937593367981e-16,"OK",521,TRUE
"IL32","negbinomial.size",0,0,"OK",11072,TRUE
"MT2A","negbinomial.size",0,0,"OK",12599,TRUE
"MT1F","negbinomial.size",1.31322569388964e-293,2.07911425550849e-292,"OK",2822,TRUE
"MT1G","negbinomial.size",0,0,"OK",948,TRUE
"MT1X","negbinomial.size",0,0,"OK",6969,TRUE
"CCL3","negbinomial.size",0,0,"OK",11310,TRUE
"CST7","negbinomial.size",0,0,"OK",15954,TRUE
"SLA2","negbinomial.size",4.04233520119812e-244,5.28182232011971e-243,"OK",3962,TRUE
"RPS21","negbinomial.size",0,0,"OK",16080,TRUE
"GADD45B","negbinomial.size",0,0,"OK",15763,TRUE
"AC020916.1","negbinomial.size",0,0,"OK",7567,TRUE
"JUND","negbinomial.size",0,0,"OK",16214,TRUE
"TYROBP","negbinomial.size",0,0,"OK",12479,TRUE
"PPP1R15A","negbinomial.size",0,0,"OK",15296,TRUE
