"gene_short_name","pval","qval"
"RPL18",1.61025786765908e-292,2.53090530069025e-291
"RPS13",1.12711086297025e-267,1.60835754064637e-266
"RPL28",0,0
"RPL8",4.42406161860793e-300,7.26953761421257e-299
"RPS28",0,0
"RPL11",0,0
"EEF1B2",1.75049448291187e-271,2.51445200889791e-270
"RPL7A",0,0
"RPSA",0,0
"RPL41",0,0
"RPS7",0,0
"RPL24",8.01916902465932e-154,6.90221333908178e-153
"RPS23",0,0
"RPS15A",0,0
"RPL22",1.34731763225241e-305,2.26537360027557e-304
"RPL4",1.6659277163682e-194,1.7456025201945e-193
"RPL30",0,0
"RPL34",0,0
"RPS5",4.73924661566112e-275,7.04070267764998e-274
"RPL37",0,0
"RPL6",0,0
"RPL12",2.25480632801105e-310,3.82083978551248e-309
"RPS3",0,0
"RPL9",1.156476041863e-241,1.49309317547669e-240
"RPS14",0,0
"RPS2",0,0
"RPS21",0,0
"RPS15",5.46228158540262e-286,8.52351709261746e-285
"RPS27",0,0
"RPL29",3.02312185626194e-194,3.15247658953469e-193
"RPL37A",2.89843755067299e-274,4.27667418191138e-273
"RPS12",0,0
"PFDN5",2.37049668751037e-165,2.19726808342307e-164
"RPLP2",0,0
"RPS25",0,0
"HLA-DRB5",7.68412663704128e-267,1.08226432959367e-265
"RPS29",0,0
"RPL32",0,0
"RPL19",0,0
"GZMK",1.49429529664429e-162,1.36181785647961e-161
"MT-CYB",9.42383543039213e-201,1.01693030092142e-199
"FAU",9.85231091440084e-167,9.21106136781699e-166
"S100A4",3.11816081117579e-168,2.92783151490922e-167
"RPL14",2.01267185451866e-272,2.94965219760201e-271
"RPLP0",8.02945024347226e-216,9.21475004131817e-215
"RPS27A",0,0
"NACA",1.51972905396227e-177,1.51206069635054e-176
"RPS10",0,0
"RPL35A",0,0
"RPL5",0,0
"RACK1",4.50444819201914e-148,3.77225796466777e-147
"CCL5",0,0
"EEF1A1",0,0
"RPS8",0,0
"RPL7",1.93922371312997e-183,1.95636103896693e-182
"TUBA4A",2.06531672713929e-231,2.55981256066579e-230
"HBB",2.17569392820073e-171,2.08808855321566e-170
"LAG3",7.51142709298116e-194,7.79535184912733e-193
"HLA-DQB1",1.61943027055178e-156,1.41066034410715e-155
"RPL18A",8.81712006656724e-266,1.23382796286351e-264
"PTMS",0,0
"CD3E",0,0
"RPL36",0,0
"LCK",8.68716455047777e-159,7.75409872838941e-158
"KLRC2",0,0
"HLA-DPB1",0,0
"RPL13A",0,0
"KLRC4",7.14409450915967e-152,6.12471975903847e-151
"RPS19",0,0
"RPL35",1.77663661447505e-245,2.3354695859372e-244
"RPL23A",0,0
"GZMH",0,0
